wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,order_slice,pre_vol,post_vol,delta_vol,pre_o2s_stated,post_o2s_stated,delta_o2s_stated,pre_o2s_stated_1,post_o2s_stated_1,delta_o2s_stated_1,pre_o2d_stated,post_o2d_stated,delta_o2d_stated,pre_fast_badge,post_fast_badge,delta_fast_badge,pre_o2d_actual_less5,post_o2d_actual_less5,delta_o2d_actual_less5,pre_o2s_actual,post_o2s_actual,delta_o2s_actual,pre_o2d_actual,post_o2d_actual,delta_o2d_actual,pre_det_o2d,post_det_o2d,delta_det_o2d,pre_ifr,post_ifr,delta_ifr,pre_del_rel,post_del_rel,delta_del_rel,pre_det_del_rel,post_det_del_rel,delta_det_del_rel,pre_late_orders,post_late_orders,delta_late_orders,pre_delivered_vol,post_delivered_vol,delta_delivered_vol,pre_weekend_msbd,post_weekend_msbd,delta_weekend_msbd,pre_weekend_ship,post_weekend_ship,delta_weekend_ship,pre_sat_ship,post_sat_ship,delta_sat_ship,pre_sun_ship,post_sun_ship,delta_sun_ship
wave1_jun_jul,223799,Safavieh Texas,Safavieh,Rugs,Alex Resnick,2026-07-05,Overall,19248.0,20709.0,1461.0,1.2289707486881072,0.807562294765308,-0.42140845392279913,0.44233167082294267,0.5613018494374427,0.11897017861449999,4.136675235646958,3.7881839376953224,-0.3484912979516359,0.8728699085619285,0.9272297068907238,0.05435979832879534,0.8773379052369077,0.9063209232700759,0.028983018033168162,1.045929235725048,0.9676172063798937,-0.07831202934515435,3.8085880640465795,3.6010445379370375,-0.20754352610954196,3.568193035371538,3.2331426851294403,-0.33505035024209784,0.828709476309227,0.803129074315515,-0.025580401993712032,0.8080424491494563,0.7979910714285714,-0.010051377720884935,0.6846723334247327,0.6970198675496688,0.012347534124936166,3296.999999999999,4077.000000000001,780.0000000000018,19223.0,20608.0,1385.0,0.0006234413965087282,0.24332415857839587,0.24270071718188715,0.16697838736492104,0.17547926022502294,0.008500872860101899,0.006702343222320361,0.00024165095935430863,-0.006460692262966052,0.1602847196965761,0.1753902662993572,0.0151055466027811
wave1_jun_jul,93132,Safavieh IN46075,Safavieh,Rugs,Alex Resnick,2026-07-05,Overall,20218.0,20089.0,-129.0,1.357849441092096,0.9566407805655117,-0.4012086605265843,0.518547828667524,0.6632983224650306,0.1447504937975066,4.051238996590851,3.7032043065880544,-0.34803469000279685,0.8747155999604312,0.8889441983174872,0.014228598357055922,0.8822336531803343,0.9038777440390263,0.02164409085869201,1.0940390798911699,1.0476522431907584,-0.04638683670041144,3.6151180634622047,3.3580579233338317,-0.25706014012837297,3.376407422852377,3.0001555129334925,-0.3762519099188846,0.8828271836976951,0.7970033351585445,-0.0858238485391506,0.8252638882006046,0.8356589147286821,0.010395026528077556,0.6901584653878232,0.7183660774454409,0.02820761205761768,2369.000000000001,4077.9999999999995,1708.9999999999986,20179.0,19995.0,-184.0,0.00019784350578692255,0.238140275772811,0.23794243226702408,0.1637155010386784,0.13166409477823685,-0.03205140626044156,0.000148397309062129,0.0008464870786237116,0.0006980897695615827,0.16358330035615354,0.1308569436837126,-0.03272635667244095
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,Overall,16978.0,18497.0,1519.0,1.2952055601366474,1.000054062820998,-0.2951514973156495,0.5534809753799034,0.6627020597934801,0.1092210844135767,4.437953577640497,4.342628382109332,-0.09532519553116447,0.8574036989044646,0.8507325512245228,-0.0066711476799417024,0.9196018376722818,0.9040384927285505,-0.015563344943731239,0.8344433311722756,0.8415445351792764,0.007101204007000761,3.441580654674137,3.5085544125609096,0.0669737578867724,3.3091664599354997,3.2875013899699765,-0.021665069965523198,0.9676051360584286,0.9112829107422825,-0.05632222531614606,0.929764504515139,0.8877412340309867,-0.04202327048415233,0.784854874720913,0.6968753474924941,-0.08797952722841884,549.9999999999997,1641.0000000000002,1091.0000000000005,16943.0,18395.0,1452.0,0.00017669925786311698,0.2643131318592204,0.2641364326013573,0.22052067381316998,0.23928204573714656,0.01876137192397659,0.0008251311369128308,0.006327402520144935,0.0055022713832321045,0.2198385100489185,0.23303228597696177,0.013193775928043272
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,Overall,11670.0,11643.0,-27.0,1.17617823479006,0.7501073790911433,-0.4260708556989167,0.4127677806341045,0.5325088035729623,0.11974102293885774,4.919724570731282,4.652968435778614,-0.2667561349526686,0.7001713796058269,0.7241260843425235,0.023954704736696586,0.7222793487574979,0.74491110538521,0.022631756627712107,0.8688721288995543,0.813203816728273,-0.05566831217128132,4.390022286987828,4.135025817555938,-0.25499646943189,3.942095340694856,3.850195938724617,-0.09189940197023905,0.9850899742930591,0.8536459675341407,-0.13144400675891843,0.8450643776824034,0.8575125064688632,0.012448128786459844,0.7065266181883473,0.7709298183113644,0.06440320012301715,174.00000000000017,1704.0,1529.9999999999998,11650.0,11594.0,-56.0,0.00034275921165381317,0.24701537404449025,0.24667261483283645,0.16906598114824337,0.15133556643476767,-0.017730414713475695,0.0004285224545766198,0.0006876987879308863,0.00025917633335426646,0.16866643812135756,0.15077795925384682,-0.017888478867510743
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,Overall,9508.0,10281.0,773.0,1.2580984434160707,0.8235580196478942,-0.4345404237681765,0.49326882625157764,0.6301916156015952,0.13692278935001756,4.4005794613155915,4.048215528382543,-0.3523639329330486,0.8679007151872108,0.8961190545666764,0.028218339379465607,0.8734749684476231,0.9034140647796907,0.029939096332067594,1.0369279326670173,0.9098783454987834,-0.1270495871682339,3.807728756449405,3.552113773621664,-0.255614982827741,3.4970493263556395,3.119507020911203,-0.37754230544443645,0.8867269667648296,0.8429141134130921,-0.04381285335173757,0.8522811084185017,0.8577156268335615,0.005434518415059819,0.6175258879857477,0.6210728356399636,0.003546947654215926,1076.9999999999998,1615.0000000000002,538.0000000000005,9491.0,10226.0,735.0,0.0,0.23869273416982784,0.23869273416982784,0.16375683634833824,0.147456473105729,-0.016300363242609223,0.00010519671786240269,0.00038929440389294404,0.0002840976860305414,0.16368609299389858,0.14715328467153285,-0.016532808322365727
wave1_jun_jul,288109,WINADO INC NJ 08505(3),WINADO INC,APS Outdoor,Melody Lu,2026-07-05,Overall,7732.0,8184.0,452.0,1.592731505431971,2.071969696969697,0.47923819153772573,0.6573978272115882,0.22201857282502444,-0.4353792543865638,4.538318748342615,4.528660049627792,-0.009658698714822833,0.8372995344024832,0.8231915933528837,-0.014107941049599448,0.8784273150543197,0.8703567937438905,-0.00807052131042918,1.181512169860176,1.0821716801173882,-0.09934048974278786,3.57568688439606,3.590079608083282,0.014392723687222109,3.3857200375788485,3.9606034160329138,0.5748833784540652,0.9035178479048112,0.9607771260997068,0.057259278194895624,0.8858032701790812,0.9000860267912006,0.014282756612119418,0.7589585290565025,0.8095000623363671,0.05054153327986455,746.0000000000001,320.9999999999997,-425.0000000000004,7706.0,8137.0,431.0,0.0005173305742369374,0.12365591397849462,0.12313858340425769,0.2074495602690119,0.2545210166177908,0.047071456348778906,0.014241325737959606,0.00012227928588897041,-0.014119046452070636,0.19342309684101502,0.2545854732208364,0.06116237637982139
wave1_jun_jul,85184,Aosom LLC GA30294,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,Overall,10290.0,6651.0,-3639.0,1.563654033041788,1.2112464291084049,-0.3524076039333832,0.6478134110787171,0.8531047962712374,0.20529138519252021,3.8578755301311767,3.771812080536913,-0.08606344959426382,0.9202137998056366,0.9155014283566381,-0.004712371448998498,0.9407191448007775,0.9198616749360998,-0.020857469864677625,0.9833609029872531,0.9692909829896131,-0.014069919997639957,3.4744014015962623,3.4613180515759314,-0.013083350020330897,3.6471583557280782,3.569115625477318,-0.07804273025076025,0.9792031098153547,0.9479777477071117,-0.031225362108243004,0.8866160140268848,0.8598851269649335,-0.02673088706195137,0.8535881357619189,0.8579502062013136,0.0043620704393946275,213.9999999999997,345.99999999999983,132.00000000000014,10266.0,6616.0,-3650.0,0.00038872691933916425,0.2467298150654037,0.24634108814606454,0.239067055393586,0.2503382949932341,0.011271239599648125,9.730466089325679e-05,0.0,-9.730466089325679e-05,0.23927216113651845,0.2506397711877164,0.011367610051197963
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,Overall,7677.0,6349.0,-1328.0,1.6463001563314226,1.1932587809103796,-0.45304137542104295,0.6631496678389996,0.8484800756024571,0.18533040776345744,6.34065934065934,5.920452708164915,-0.42020663249442514,0.4367591507099127,0.5339423531264766,0.09718320241656392,0.4693239546697929,0.5359899196723894,0.06666596500259653,1.3817778936392076,1.2953041285849354,-0.08647376505427218,6.003131932663448,5.456137582833701,-0.5469943498297463,5.3152323343414904,5.027850589777195,-0.28738174456429544,0.8113846554643741,0.8330445739486533,0.021659918484279173,0.80893883951908,0.7957568081063965,-0.013182031412683481,0.624003299422601,0.6322083879423329,0.008205088519731896,1448.0,1060.0000000000005,-387.99999999999955,7652.0,6316.0,-1336.0,0.0011723329425556857,0.24586549062844543,0.24469315768588973,0.1981242672919109,0.25043313907702003,0.05230887178510912,0.0036496350364963502,0.0034667507091080997,-0.00018288432738825054,0.19460375391032325,0.24708477781279548,0.052481023902472224
wave1_jun_jul,325564,SLM GA3,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-07-05,Overall,12174.0,6222.0,-5952.0,1.5515853458189584,1.1719980710496705,-0.3795872747692879,0.65212748480368,0.8460302153648345,0.19390273056115448,5.315037593984963,4.506472226773718,-0.8085653672112452,0.823065549531789,0.8749598199935712,0.05189427046178219,0.8186298669295219,0.8784956605593057,0.05986579362978384,1.1929997535124477,1.1000644537544313,-0.0929352997580164,4.382389213187536,3.894371875503951,-0.4880173376835848,3.7683242791475138,3.4105332024860973,-0.3577910766614165,0.9340397568588796,0.9278367084538733,-0.006203048405006295,0.8858695652173914,0.8960828747167368,0.010213309499345402,0.5699122440451316,0.6511285574092247,0.08121631336409307,802.9999999999993,449.0000000000001,-353.9999999999992,12144.0,6178.0,-5966.0,0.0,0.2576342012214722,0.2576342012214722,0.2491375061606703,0.25634844101575055,0.007210934855080259,0.01224120933289517,0.0022558814050918467,-0.009985327927803322,0.23693723299375616,0.2547534643893007,0.01781623139554453
wave1_jun_jul,70707,Aosom LLC NJ 08022,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,Overall,8998.0,5170.0,-3828.0,1.5405645699044233,1.1508704061895552,-0.3896941637148681,0.6692598355190043,0.8657640232108317,0.19650418769182743,3.679181654676259,3.580455259026688,-0.09872639564957097,0.9165370082240498,0.893036750483559,-0.023500257740490804,0.9360969104245388,0.9158607350096711,-0.020236175414867663,0.8800623052959502,0.8393652022450164,-0.04069710305093377,3.0888666444222,3.16721629485936,0.07834965043715991,3.214722536806342,3.1147186147186146,-0.10000392208772757,0.9858857523894199,0.981237911025145,-0.004647841364274874,0.9397952370353884,0.8538341767224601,-0.08596106031292827,0.8993204983012457,0.8685556867375049,-0.03076481156374078,126.99999999999983,97.00000000000027,-29.99999999999956,8986.0,5138.0,-3848.0,0.0004445432318292954,0.23926499032882012,0.23882044709699082,0.2722827294954434,0.2711798839458414,-0.001102845549601994,0.0,0.0,0.0,0.27258566978193144,0.27133733307528546,-0.0012483367066459805
