wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,pre_vol,post_vol,delta_vol,pre_o2s_stated,post_o2s_stated,delta_o2s_stated,pre_o2s_stated_1,post_o2s_stated_1,delta_o2s_stated_1,pre_o2d_stated,post_o2d_stated,delta_o2d_stated,pre_fast_badge,post_fast_badge,delta_fast_badge,pre_o2d_actual_less5,post_o2d_actual_less5,delta_o2d_actual_less5,pre_o2s_actual,post_o2s_actual,delta_o2s_actual,pre_o2d_actual,post_o2d_actual,delta_o2d_actual,pre_det_o2d,post_det_o2d,delta_det_o2d,pre_ifr,post_ifr,delta_ifr,pre_del_rel,post_del_rel,delta_del_rel,pre_det_del_rel,post_det_del_rel,delta_det_del_rel,pre_late_orders,post_late_orders,delta_late_orders,pre_delivered_vol,post_delivered_vol,delta_delivered_vol,pre_weekend_msbd,post_weekend_msbd,delta_weekend_msbd,pre_weekend_ship,post_weekend_ship,delta_weekend_ship,pre_sat_ship,post_sat_ship,delta_sat_ship,pre_sun_ship,post_sun_ship,delta_sun_ship
wave1_jun_jul,223799,Safavieh Texas,Safavieh,Rugs,Alex Resnick,2026-07-05,11212.0,11941.0,729.0,1.1993577736151995,0.838304289544236,-0.3610534840709635,0.45941848019978593,0.5447617452474667,0.08534326504768075,3.8030834564254064,3.564488392089424,-0.23859506433598243,0.9045665358544417,0.9513441085336236,0.04677757267918192,0.9364966107741706,0.9367724646177037,0.0002758538435331248,0.8564038530146272,0.9203250670241286,0.06392121400950146,3.4555833036032824,3.419716894212246,-0.03586640939103658,3.426313298627544,3.176643598615917,-0.2496697000116268,0.9304316803424902,0.84021438740474,-0.09021729293775027,0.8580092757759543,0.8212879993300394,-0.03672127644591494,0.731805208704959,0.7364542333137928,0.004649024608833763,779.9999999999994,1908.0,1128.0000000000005,11212.0,11941.0,729.0,0.0008919015340706386,0.2824721547609078,0.28158025322683716,0.22832679272208348,0.21865840381877566,-0.009668388903307817,0.011148769175882983,0.00025123523992965415,-0.010897533935953328,0.2171780235462005,0.21840716857884598,0.0012291450326454845
wave1_jun_jul,93132,Safavieh IN46075,Safavieh,Rugs,Alex Resnick,2026-07-05,11703.0,11893.0,190.0,1.2633512774502265,0.8461991254624958,-0.4171521519877307,0.5466119798342305,0.594887749096107,0.04827576926187649,3.51541231228594,3.359209049304896,-0.15620326298104414,0.9188242331026233,0.9338266207012529,0.015002387598629596,0.924292916346236,0.9524930631463886,0.028200146800152592,0.9547085968210562,0.9942818701648167,0.039573273343760484,3.298128684952576,3.0956865382998404,-0.20244214665273574,3.2410094637223974,2.8851989941905836,-0.35581046953181383,0.9504400581047595,0.7934078869923484,-0.15703217111241108,0.8467914210031616,0.8627764231060288,0.01598500210286713,0.7214389472784756,0.7497687715462877,0.028329824267812165,579.9999999999994,2457.0,1877.0000000000005,11703.0,11893.0,190.0,0.0002563445270443476,0.2746153199360969,0.2743589754090525,0.21062975305477227,0.14521146893130413,-0.06541828412346815,0.0002563445270443476,0.0004204153703859413,0.0001640708433415937,0.21037340852772793,0.14479105356091818,-0.06558235496680975
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,9132.0,7345.0,-1787.0,1.2026938239159002,1.0091218515997278,-0.1935719723161724,0.5763250109505037,0.7037440435670524,0.12741903261654874,3.681731949559201,4.424819344080045,0.7430873945208436,0.9319973718791065,0.8905377808032675,-0.041459591075838964,0.9561979851073149,0.9558883594281824,-0.00030962567913250805,0.7781551270815075,0.876786929884275,0.09863180280276751,3.165133596145423,3.276786929884275,0.11165333373885211,3.253631542540927,3.0085813148788927,-0.2450502276620341,0.9756898817345598,0.9255275697753574,-0.0501623119592024,0.9144765659220324,0.9415929203539823,0.02711635443194993,0.8047525186158563,0.6684819605173588,-0.13627055809849753,221.99999999999955,546.9999999999997,325.0000000000001,9132.0,7345.0,-1787.0,0.00010950503723171266,0.2592239618788291,0.2591144568415974,0.2257993867717915,0.20612661674608576,-0.01967277002570575,0.0007668711656441718,0.00013614703880190606,-0.0006307241268422657,0.22513146362839614,0.20599046970728388,-0.019140993921112265
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,6482.0,5858.0,-624.0,1.1082999074359765,0.8345851826561966,-0.27371472477977987,0.4315026226473311,0.5078525093888699,0.07634988674153886,4.331189206149984,4.134086956521739,-0.1971022496282453,0.769361308238198,0.7828610447251622,0.01349973648696412,0.789108299907436,0.8301468077842267,0.04103850787679064,0.7592964048757908,0.796688289518607,0.03739188464281629,3.843721073742672,3.666780471150563,-0.17694060259210875,3.8163497480903623,3.706151142355009,-0.11019860573535345,0.9854983029929034,0.8931375896210311,-0.09236071337187235,0.8528232027152114,0.895868897234551,0.043045694519339595,0.7287874112928109,0.8333902355752817,0.10460282428247081,94.00000000000004,626.0,532.0,6482.0,5858.0,-624.0,0.000308546744831842,0.3103448275862069,0.3100362808413751,0.21274298056155508,0.2299419597132127,0.017198979151657634,0.00046289152908501776,0.0006828269033799932,0.00021993537429497543,0.21231291467366148,0.2292591328098327,0.016946218136171226
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,5556.0,5478.0,-78.0,1.1472282217422607,0.8588901058780577,-0.288338115864203,0.5232181425485961,0.5945600584154801,0.07134191586688399,4.019121161978305,3.767151379567487,-0.2519697824108178,0.9051475881929446,0.9249726177437021,0.01982502955075749,0.9191864650827933,0.9501642935377875,0.030977828454994194,0.8525917926565875,0.8402701715954728,-0.012321621061114674,3.4712023038156947,3.275648046732384,-0.19555425708331065,3.3392036753445637,3.045224244698818,-0.29397943064574594,0.943304535637149,0.9110989412194231,-0.03220559441772586,0.8961483081353492,0.9010587805768528,0.004910472441503666,0.6517278617710583,0.6579043446513326,0.006176482880274281,315.00000000000017,487.00000000000006,171.9999999999999,5556.0,5478.0,-78.0,0.00017998560115190784,0.2878787878787879,0.287698802277636,0.22354211663066956,0.2267250821467689,0.0031829655160993398,0.00017998560115190784,0.000547645125958379,0.0003676595248064711,0.22336213102951763,0.2261774370208105,0.0028153059912928713
wave1_jun_jul,288109,WINADO INC NJ 08505(3),WINADO INC,APS Outdoor,Melody Lu,2026-07-05,4253.0,5083.0,830.0,1.4968257700446743,2.026952587054889,0.5301268170102145,0.7086762285445568,0.23234310446586662,-0.4763331240786902,3.3835946924004827,3.618207339081612,0.23461264668112936,0.9376910416176817,0.9374385205587251,-0.0002525210589565674,0.9508582177286621,0.9480621680110172,-0.0027960497176449106,1.168351751704679,1.0950226244343892,-0.07332912727028984,3.147190218669175,3.12886090891206,-0.01832930975711511,3.3535871156661785,3.9552568218298556,0.6016697061636771,0.8996002821537739,0.9765886287625418,0.07698834660876797,0.8751469550905243,0.9024198308085776,0.027272875718053258,0.8217728662120856,0.9104859335038363,0.08871306729175077,426.9999999999998,118.99999999999991,-307.9999999999999,4253.0,5083.0,830.0,0.0,0.16092858548101516,0.16092858548101516,0.24171173289442746,0.2730670863663191,0.03135535347189164,0.003997178462261932,0.0001967342120794806,-0.0038004442501824516,0.23771455443216552,0.2728703521542396,0.035155797722074084
wave1_jun_jul,85184,Aosom LLC GA30294,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,6581.0,3611.0,-2970.0,1.4833611913083118,1.232068679036278,-0.25129251227203375,0.6825710378361951,0.8377180836333425,0.15514704579714744,3.608185328185328,3.6271138669673055,0.018928538781977533,0.9389150585017475,0.9285516477430075,-0.010363410758740033,0.9539583649901231,0.9448906120188314,-0.009067752971291698,0.9595683234534124,0.9512600387704238,-0.00830828468298861,3.370004558577724,3.3107172528385487,-0.05928730573917518,3.590258325552443,3.5715896279594137,-0.01866869759302947,0.982829357240541,0.9734145666020493,-0.00941479063849171,0.8828445524996201,0.8715037385765716,-0.011340813923048532,0.8627868105151193,0.8703960121849903,0.007609201669871002,112.99999999999974,96.00000000000004,-16.9999999999997,6581.0,3611.0,-2970.0,0.000151952590791673,0.29354749376903905,0.2933955411782474,0.2612065035708859,0.27388535031847133,0.01267884674758546,0.0,0.0,0.0,0.2612859097127223,0.27388535031847133,0.012599440605749024
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,4259.0,3465.0,-794.0,1.5510683258980982,1.2187590187590187,-0.33230930713907947,0.6973467950223057,0.8533910533910534,0.1560442583687477,5.528361090996862,5.450148367952522,-0.07821272304433968,0.4994130077482977,0.5823953823953824,0.08298237464708463,0.5299366048368161,0.6461760461760462,0.11623944133923003,1.313923456210378,1.2072150072150072,-0.10670844899537091,5.42028645221883,4.771139971139971,-0.6491464810788594,5.2936053744712614,4.9395752318277,-0.3540301426435617,0.8631134069030288,0.922943722943723,0.05983031604069411,0.7865696172810519,0.8311688311688312,0.04459921388777932,0.6698755576426391,0.7240981240981241,0.054222566455485066,583.0000000000001,266.99999999999994,-316.00000000000017,4259.0,3465.0,-794.0,0.000704390702042733,0.29523809523809524,0.2945337045360525,0.2787039211082414,0.28484848484848485,0.006144563740243469,0.006574313219065508,0.004329004329004329,-0.002245308890061179,0.27212960788917584,0.2805194805194805,0.008389872630304662
wave1_jun_jul,325564,SLM GA3,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-07-05,7403.0,3390.0,-4013.0,1.4829123328380387,1.1648967551622418,-0.3180155776757969,0.6866135350533568,0.8454277286135693,0.15881419356021254,4.197530864197531,4.0215827338129495,-0.17594813038458135,0.9219235445089828,0.9433628318584071,0.02143928734942424,0.9105767931919492,0.9557522123893806,0.0451754191974314,1.1780599837881653,1.092330383480826,-0.08572960030733934,3.8379035526138052,3.4702064896755163,-0.36769706293828897,3.670463903376338,3.369994022713688,-0.30046988066265,0.9231392678643793,0.9466076696165192,0.023468401752139934,0.8793732270701067,0.9235988200589971,0.044225592988890394,0.6298797784681885,0.7115044247787611,0.08162464631057254,569.0000000000002,180.9999999999999,-388.00000000000034,7403.0,3390.0,-4013.0,0.00013508037282182898,0.31386430678466076,0.3137292264118389,0.26759421856004323,0.2855457227138643,0.017951504153821074,0.013778198027826557,0.002359882005899705,-0.011418316021926852,0.2538160205322167,0.2831858407079646,0.029369820175747907
wave1_jun_jul,70707,Aosom LLC NJ 08022,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,5689.0,2934.0,-2755.0,1.4884865529970117,1.2269938650306749,-0.26149268796633685,0.7115486025663561,0.8725289706884799,0.1609803681221238,3.2181172291296627,3.0338983050847457,-0.18421892404491702,0.95289154508701,0.9601226993865031,0.007231154299493059,0.9613288802953067,0.9730743012951601,0.011745420999853429,0.9092348284960422,0.854464894342195,-0.05476993415384723,2.928634206363157,2.8336741649625083,-0.09496004140064862,3.180615164520744,3.0938690682369243,-0.0867460962838198,0.9813675514150114,0.9914792092706203,0.010111657855608858,0.9328528739673053,0.8633265167007498,-0.06952635726655554,0.9187906486201441,0.9154737559645535,-0.003316892655590653,106.00000000000004,25.00000000000011,-80.99999999999993,5689.0,2934.0,-2755.0,0.0005273334505185445,0.2719836400817996,0.27145630663128106,0.2888029530673229,0.2743694614860259,-0.014433491581296976,0.0,0.0,0.0,0.2890061565523307,0.2743694614860259,-0.014636695066304772
