lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,n_parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,candidate_vol,candidate_share,direct_vol,direct_share,sparse_far_vol,sparse_far_share,jumbo_vol,jumbo_share,ghost_vol,ghost_share,misshipping_vol,misshipping_share,weeks_with_direct,pct_weeks_with_direct,direct_by_week,top_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_hubs,n_misshipping_hubs,misshipping_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_gain_on_candidate,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,candidate_bucket_sum,candidate_partition_ok,direct_cohort
msbd_2w,msbd_su,2,147944,孟菲斯仓Foxridge LLC,108807,YEEYOO INTERNATIONAL LIMITED,"CA,GA,NJ,TN",4,APS,Christal Ding,TN,Memphis,38118,4259 Air Trans Road,OLIVE BRANCH LOCAL,MS,38654,3919,3,131,0.033426894615973465,43,0.010972186782342434,1,0.00025516713447307985,56,0.014289359530492473,0,0.0,31,0.007910181168665476,3,1.0,2026-08-02: 11; 2026-08-09: 31; 2026-08-16: 1,Olive Branch (MS) 1%,0,0,,4,Richmond Hill Ncpc (GA) 1%; South Rialto - Ncpc (CA) 0%; West Savannah  Ncpc (GA) 0%; Industry (CA) 0%,466,0.11890788466445522,3434,221,221,3232,0.9359976831740515,-0.004600435963273834,679.0972168104652,689.710126582278,59.66782481751829,0.48456238836437826,0.42434294462873157,0.5877862595419848,0.35877862595419846,0.5116279069767441,0.3023255813953488,1.0,1.0,0.6249999999999999,0.375,,,0.6129032258064516,0.38709677419354843,131,True,consistently_builds_directs
msbd_2w,msbd_su,2,81518,"Fitueyes,Inc. GA 30518",45223,"Fitueyes,Inc.","CA,GA,NJ",3,APS,Nora Li,GA,Buford,30518,943 Gainesville Hwy ,BRASELTON,GA,30517,3340,3,43,0.012874251497005988,16,0.004790419161676647,0,0.0,26,0.007784431137724551,0,0.0,1,0.0002994011976047904,3,1.0,2026-08-02: 6; 2026-08-09: 9; 2026-08-16: 1,South Atlanta Ncpc (GA) 0%,0,0,,1,Arcadia (CA) 0%,79,0.023652694610778444,3219,88,100,3161,0.9693345599509353,0.2607734758934696,627.0416835016845,620.1799728445354,84.36758173966685,0.9413173652694624,0.8206586826347302,0.9302325581395348,0.5813953488372093,0.8124999999999999,0.625,,,1.0,0.5384615384615385,,,1.0,1.0,43,True,consistently_builds_directs
msbd_2w,msbd_su,2,242993,"Haomaijia Technology (Shenzhen) Co., LTD GA 30519",58624,EBELLO HOME INC_1,"CA,GA,NJ,TX",4,APS,Sean Xu,GA,Buford,30519,2961 Gravel Springs Rd,BRASELTON,GA,30517,2800,3,225,0.08035714285714286,123,0.04392857142857143,3,0.0010714285714285715,99,0.03535714285714286,0,0.0,0,0.0,3,1.0,2026-08-02: 29; 2026-08-09: 81; 2026-08-16: 13,South Atlanta Ncpc (GA) 3%; Chattanooga (TN) 1%; Braselton (GA) 1%,0,0,,0,,238,0.085,2347,1357,283,2279,0.8895394223263076,0.4355816278673346,775.2283857442352,712.0333333333342,201.6435624012638,0.840714285714288,0.7307142857142863,0.9466666666666665,0.7955555555555558,0.9918699186991868,0.8943089430894309,0.33333333333333337,0.6666666666666666,0.9090909090909088,0.6767676767676766,,,,,225,True,consistently_builds_directs
msbd_2w,msbd_su,2,288109,WINADO INC NJ 08505(3),58611,WINADO INC,"CA,GA,IL,NJ,TX",5,APS Outdoor,Melody Lu,NJ,Fieldsboro ,08505,C/O 1170 Florence Columbus Rd,ROBBINSVILLE,NJ,8691,2795,3,33,0.011806797853309481,12,0.004293381037567084,4,0.0014311270125223613,14,0.005008944543828265,0,0.0,3,0.001073345259391771,3,1.0,2026-08-02: 2; 2026-08-09: 5; 2026-08-16: 5,East Brunswick (NJ) 0%,0,0,,2,Industry (CA) 0%; Chino (CA) 0%,34,0.012164579606440072,2191,67,50,2711,0.9818906193408186,0.09034643400704448,619.422258238791,617.3003206841253,48.17557755775581,0.9935599284436499,0.7674418604651158,1.0,0.4242424242424243,1.0,0.33333333333333337,1.0,0.75,1.0,0.5,,,1.0,0.0,33,True,consistently_builds_directs
msbd_2w,msbd_su,2,125267,Safavieh GA 31320,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",7,Rugs,Alex Resnick,GA,Midway,31320,1254 Islands Highway,SAVANNAH LOCAL,GA,31408,2520,3,83,0.03293650793650794,10,0.003968253968253968,0,0.0,13,0.005158730158730159,0,0.0,60,0.023809523809523808,3,1.0,2026-08-02: 5; 2026-08-09: 3; 2026-08-16: 2,Richmond Hill Ncpc (GA) 0%,0,0,,9,North  Indianapolis (IN) 1%; Lehigh Valley (PA) 0%; Greenwood (IN) 0%; Woodbridge (NJ) 0%; Baytown (TX) 0%,79,0.03134920634920635,2399,111,111,2330,0.9545268332650553,0.5008664740252252,637.0382830626453,610.4975355450254,59.53222036727873,0.9853174603174604,0.6781746031746022,0.9036144578313252,0.8433734939759036,1.0,0.7,,,1.0,0.5384615384615384,,,0.8666666666666667,0.9333333333333333,83,True,consistently_builds_directs
msbd_2w,msbd_su,2,279442,HONGKONG BESTARE TECH NJ 08810,108807,YEEYOO INTERNATIONAL LIMITED,"CA,GA,NJ,TN",4,APS,Christal Ding,NJ,Dayton,08810,45 Stults Rd ,PRINCETON,NJ,8810,2280,3,126,0.05526315789473684,54,0.02368421052631579,0,0.0,57,0.025,0,0.0,15,0.006578947368421052,3,1.0,2026-08-02: 17; 2026-08-09: 30; 2026-08-16: 7,King Of Prussia (PA) 2%; Princeton (NJ) 0%,0,0,,3,Richmond Hill Ncpc (GA) 1%; West Savannah  Ncpc (GA) 0%; South Rialto - Ncpc (CA) 0%,62,0.027192982456140352,2020,1999,221,1997,0.9003606853020739,0.35962327456092025,647.3431161853584,532.7015780730895,170.7039287345821,0.8885964912280692,0.7640350877192993,0.9603174603174607,0.7698412698412702,1.0,0.7962962962962962,,,0.9298245614035083,0.7017543859649124,,,0.9333333333333333,0.9333333333333333,126,True,consistently_builds_directs
msbd_2w,msbd_su,2,28971,NFusion CA 91761 Warehouse CA11,3215,"GigaCloud Trading, Inc.","CA,GA,NJ,TX",4,Outdoor Furniture,Amy Connell,CA,Ontario,91761,3510 E Francis Street,CHINO LOCAL,CA,91710,2067,3,49,0.02370585389453314,17,0.00822447992259313,0,0.0,30,0.01451378809869376,0,0.0,2,0.0009675858732462506,3,1.0,2026-08-02: 2; 2026-08-09: 11; 2026-08-16: 4,Chino (CA) 0%; Chino Hills Ncpc (CA) 0%; South Rialto - Ncpc (CA) 0%,0,0,,1,South Atlanta Ncpc (GA) 0%,89,0.043057571359458154,1948,67,67,1911,0.9661274014155713,-1.2768009887705054,1321.6125425652663,1338.2628571428584,85.99994863893154,0.9317851959361387,0.6028059990324148,0.8163265306122447,0.44897959183673464,0.8235294117647057,0.8235294117647057,,,0.8333333333333331,0.2333333333333334,,,0.5,0.5,49,True,consistently_builds_directs
msbd_2w,msbd_su,2,248926,NJ.,248914,SHENZHENSHIMINGXIAOSHANGMAOYOUXIANGONGSI,"CA,GA,NJ,TX",4,APS Bedroom,Lydia Liu,NJ,Westampton,08060,35 E Park Dr,ROBBINSVILLE,NJ,8691,1340,3,72,0.05373134328358209,10,0.007462686567164179,0,0.0,60,0.04477611940298507,0,0.0,2,0.0014925373134328358,3,1.0,2026-08-02: 5; 2026-08-09: 4; 2026-08-16: 1,Greensboro (NC) 1%,0,0,,2,Richmond Hill Ncpc (GA) 0%; Rancho Cucamonga Ncpc (CA) 0%,36,0.026865671641791045,1206,784,154,1150,0.8819018404907976,0.24214690027028932,813.9222684703443,792.2236323851204,105.68974556669235,0.9567164179104486,0.7305970149253734,0.9027777777777776,0.6805555555555554,1.0,0.8999999999999999,,,0.8833333333333332,0.6666666666666667,,,1.0,0.0,72,True,consistently_builds_directs
msbd_2w,msbd_su,2,74080,"Fitueyes,Inc. CA 91744",45223,"Fitueyes,Inc.","CA,GA,NJ",3,APS,Nora Li,CA,City of Industry,91744,15441 Stafford St,INDUSTRY,CA,91789,1339,3,44,0.03286034353995519,20,0.014936519790888723,1,0.0007468259895444362,23,0.01717699775952203,0,0.0,0,0.0,3,1.0,2026-08-02: 10; 2026-08-09: 9; 2026-08-16: 1,Arcadia (CA) 1%; West Rialto (CA) 0%,0,0,,0,,32,0.02389843166542196,1298,56,66,1241,0.9495026778882938,-0.7030753185008763,801.852461662631,799.7083956774736,120.07169373549867,0.9932785660941007,0.7864077669902902,0.9772727272727271,0.5909090909090909,1.0,0.8999999999999999,1.0,1.0,0.9565217391304346,0.3043478260869566,,,,,44,True,consistently_builds_directs
msbd_2w,msbd_su,2,408999,"Freestyle Outdoor Living Co., Ltd CA 91761 (4)",57760,Orange Casual Co Ltd_1,"CA,GA,NJ,PA",4,APS Outdoor,Melody Lu,CA,Ontario,91761,5491 E Philadelphia St ,CHINO LOCAL,CA,91710,1218,3,35,0.028735632183908046,12,0.009852216748768473,0,0.0,23,0.018883415435139574,0,0.0,0,0.0,3,1.0,2026-08-02: 8; 2026-08-09: 3; 2026-08-16: 1,Chino Hills Ncpc (CA) 1%,0,0,,0,,36,0.029556650246305417,1171,73,76,1106,0.9357021996615905,-0.3812362652924004,1069.7019940179464,1071.6502487562202,151.98470085470083,0.9934318555008212,0.8300492610837438,1.0,0.6285714285714287,1.0,1.0,,,1.0,0.43478260869565216,,,,,35,True,consistently_builds_directs
